id	product	TW15838	ERR152031	Escherichia_coli_HS_uid58393	RCE07	ERR152028	Escherichia_coli_SE11_uid59425	GUTCD_69_1_TI1	Escherichia_coli_IAI1_uid59377	C321	GUTCD_70_2_TI12	RCE08	GUTCD_36_1_TI13	ERR152027	CS01	GUTCD_CD_1IM_3	GUTCD_39_2_TI18	RCE04	RCE10	GUTCD_41_2_TI13	GUTCD_33_1_TI5	CS06	ERR181299	ERR181301	GUTCD_CD_64_LN	Escherichia_coli_O83_H1_NRG_857C_uid161987	Escherichia_coli_ED1a_uid59379	RCE05	RCE11	CS02	ERR152025	RCE03	CS04	ERR152033	HM605	GUTCD_55_1_AU4	CS03	CS05	GUTCD_54_1_TI6	ERR152029	RCE01	RCE06	ERR152030	ERR152026	GUTCD_55_1_TI19	ERR152032	LF82	GUTCD_CD_34_LN	GUTCD_57_3_TI5	RCE02	ERR152024	Escherichia_coli_UM146_uid162043	strains
OG0006904:	Phage_minor_tail_protein_U	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OG0001624:	N,N'-diacetylchitobiose-specific_phosphotransferase_enzyme_IIB_component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0001909:	Flagellar_regulator_flk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0006076:	hypothetical_protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5
OG0000469:	Carbamoyltransferase_HypF	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0002549:	major_facilitator_superfamily_transporter	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0006027:	hypothetical_protein	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
OG0009662:	Aspartate_carbamoyltransferase_catalytic_chain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OG0005654:	hypothetical_protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5
OG0006747:	hypothetical_protein	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
OG0001689:	Protease_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0005899:	hypothetical_protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	6
OG0002760:	DNA_recombination_protein_RmuC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51
OG0006689:	hypothetical_protein	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
OG0010003:	small_toxic_polypeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OG0005158:	ribulose-1,5-biphosphate_synthetase	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	12
OG0008262:	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
OG0010098:	hypothetical_protein	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OG0000033:	hypothetical_protein	0	4	0	1	6	0	0	0	1	0	0	0	1	2	0	4	0	4	1	4	5	0	4	3	0	5	0	1	4	0	1	4	1	4	2	1	4	0	5	1	3	5	0	2	4	0	3	2	1	3	3	34
OG0008592:	NADH-quinone_oxidoreductase_subunit_M	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
